"Udledning af drivhusgasser efter enhed, kilde, branche, type,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"I alt"
" ";" ";" ";"Faktisk udledning"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Kalundborg";5303;5225;5164;3864;4309;4465;5051;5070;5213;4752;4606;4464
" ";" ";" ";" ";" ";"Ringsted";583;604;930;639;455;583;909;553;239;704;507;486
" ";" ";" ";" ";" ";"Slagelse";2632;2909;3221;3600;3486;3524;3865;2727;2698;2247;2403;2343
" ";" ";" ";" ";" ";"Stevns";521;483;569;511;382;356;298;367;189;314;289;275
" ";" ";" ";" ";" ";"Sorø";776;728;944;717;766;632;518;497;406;570;498;490
" ";" ";" ";" ";" ";"Lejre";390;305;342;1354;542;536;725;2632;1019;1007;963;938
" ";" ";" ";" ";" ";"Lolland";1129;1024;757;1524;1496;1496;1523;1627;1557;1328;1371;1343
" ";" ";" ";" ";" ";"Næstved";3214;2860;2867;3061;2934;2676;2608;2400;2755;2746;2602;2536
" ";" ";" ";" ";" ";"Guldborgsund";3485;3468;3544;3470;3228;2891;2969;3011;3506;3356;3317;3262
" ";" ";" ";" ";" ";"Vordingborg";1539;1495;1610;1595;1599;1430;1899;1356;622;1351;1118;1106
" ";" ";" ";" ";" ";"Bornholm";2701;2634;2675;1660;1669;1766;1617;1842;1624;1879;1807;1794
" ";" ";" ";" ";" ";"Middelfart";2263;2385;1899;2794;2989;2820;2205;2128;1926;1238;1632;1611
" ";" ";" ";" ";" ";"Assens";2234;2169;2320;2023;2198;1962;1935;2312;3157;2131;2448;2418
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";3769;3970;3774;3603;3807;3122;2855;3044;3494;2282;2968;2929
" ";" ";" ";" ";" ";"Kerteminde";540;539;380;449;414;379;502;332;119;392;270;260
" ";" ";" ";" ";" ";"Nyborg";6524;6194;6399;6125;5631;5289;4927;4815;5331;5374;5038;4946
" ";" ";" ";" ";" ";"Odense";3258;3131;2710;2012;1528;1166;817;894;605;832;836;784
